current_activity,precision,smoothness,lifts,time_spent,recommended_activity
Numbers,0.9464857283587429,1.31,2,48.98455001363846,Words
Shapes,0.4060762738286178,1.22,2,32.96244459829336,Shapes_Review
Letters,0.31399745612114566,1.33,1,46.09993861334124,Letters_Review
Shapes,0.4236409777008284,1.51,4,40.87407548138583,Shapes_Review
Words,0.5937226126766386,1.04,0,36.238733012919454,Words
Numbers,0.9621537528121922,1.77,6,32.8034992108518,Numbers_Review
Letters,0.5600741540616706,1.22,3,39.620728443102124,Letters
Letters,0.7626091262396901,1.23,0,13.252579649263975,Numbers
Numbers,0.6830359881349667,1.03,1,25.230688458668535,Numbers
Numbers,0.46389731689768793,1.37,3,16.10191174223894,Numbers_Review
Letters,0.9183378734135716,1.46,3,19.11180438940312,Letters
MathBasics,0.6536462544009113,1.01,1,38.385016390999574,MathBasics
Shapes,0.8270903198855579,1.32,1,29.75751180009072,Letters
MathBasics,0.4332683464450187,1.2,0,58.058601217467455,MathBasics_Review
Words,0.48451734160624915,1.64,4,39.33755828319241,Words_Review
Numbers,0.6690333365476089,1.0,0,24.81367528520412,Numbers
Lines,0.9710831168883516,1.7,7,29.744075908778484,Lines_Review
Letters,0.4352128347803875,1.87,7,46.45035840204937,Letters_Review
Words,0.9298845973890772,1.3,1,15.793452976256486,MathBasics
Numbers,0.5250106568998014,1.83,7,28.540912609913317,Numbers_Review
Words,0.7961322012698835,1.8,7,23.736089649503207,Words_Review
Letters,0.3813240872380451,1.65,5,52.445691213304194,Letters_Review
MathBasics,0.6357810055277857,1.0,0,45.533144484289366,MathBasics
Numbers,0.373366170355447,1.67,6,54.78817978367597,Numbers_Review
Words,0.6458280699919978,1.61,5,16.966572720293783,Words_Review
Letters,0.4380816328196432,1.4,4,13.848995491439648,Letters_Review
MathBasics,0.8987181305303751,1.22,1,50.40601897822085,ReadSimple
MathBasics,0.610443507928379,1.51,3,19.328502944301793,MathBasics
Letters,0.5205546142835863,1.61,6,54.80456499617466,Letters_Review
Lines,0.485049929581552,1.39,2,31.355389431312815,Lines_Review
Lines,0.5072512555474598,1.55,5,35.537365128878285,Lines_Review
Words,0.7708565023653837,1.33,1,26.8807585701814,MathBasics
MathBasics,0.44875966930968775,1.73,7,45.15094794475889,MathBasics_Review
Lines,0.4726624814753544,1.37,3,22.58911479126821,Lines_Review
Lines,0.4006991123683119,1.81,7,11.84434736772664,Lines_Review
Shapes,0.5795051690563973,1.82,6,23.93232321183057,Shapes_Review
Letters,0.7628797070572414,1.64,4,34.472638013878154,Letters_Review
Numbers,0.3549802619062464,1.85,7,21.881877199619986,Numbers_Review
Words,0.729967964803634,1.69,5,29.941222122227654,Words_Review
Lines,0.402487929896492,1.11,2,19.325925519992712,Lines_Review
Numbers,0.5216520555372817,1.38,3,10.829391446392808,Numbers_Review
Letters,0.5370928713583759,1.74,6,18.718321450249572,Letters_Review
Shapes,0.8696428720169829,1.14,2,27.053317552512926,Letters
MathBasics,0.7731333915546559,1.79,6,42.999202301708955,MathBasics_Review
Lines,0.6513124060642896,1.0,0,22.092614545022585,Lines
Numbers,0.6796395484528264,1.72,7,41.65507286366339,Numbers_Review
Letters,0.7762433243814844,1.91,7,54.85551299762886,Letters_Review
Lines,0.7365815193849157,1.37,2,56.781749711047375,Lines
Numbers,0.6948669025767891,1.83,7,15.073577143301605,Numbers_Review
Words,0.49306626282147664,1.64,5,37.436689468329305,Words_Review
